Date,Name,Group,UFC_cover,MADC_cover
9.28.2020,INEBOULETTE,Sainfoin,108.7,251.6
9.28.2020,ICILIFAIRYBOULETTE,Sainfoin,107.4,247.1
9.28.2020,ILIVALABOULETTE,Sainfoin,94.7,211.3
9.28.2020,IENABOULETTE,Sainfoin,108.8,250.3
9.28.2020,IMBALABOUL,Sainfoin,109,249.5
9.28.2020,IRITABELLA,Sainfoin,109,249.6
9.28.2020,ITROPIBOULETTE,Sainfoin,109.2,249.5
9.28.2020,IDOMISSYOUBOULETTE,Sainfoin,108.8,247.4
9.28.2020,IMEETHAPPYBOULETTE,Sainfoin,109,247.9
9.28.2020,INECHAIBOUL,Sainfoin,108.7,248.1
9.29.2020,INEBOULETTE,Sainfoin,108.7,251.9
9.29.2020,ICILIFAIRYBOULETTE,Sainfoin,108.7,251.1
9.29.2020,ILIVALABOULETTE,Sainfoin,109,251.9
9.29.2020,IENABOULETTE,Sainfoin,109.2,251.9
9.29.2020,IMBALABOUL,Sainfoin,108.8,249.2
9.29.2020,IRITABELLA,Sainfoin,109,249.9
9.29.2020,ITROPIBOULETTE,Sainfoin,108.8,248.9
9.29.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,248.7
9.29.2020,IMEETHAPPYBOULETTE,Sainfoin,109,248.5
9.29.2020,INECHAIBOUL,Sainfoin,109.3,250.4
9.30.2020,INEBOULETTE,Sainfoin,108.7,251.9
9.30.2020,ICILIFAIRYBOULETTE,Sainfoin,108.7,251.1
9.30.2020,ILIVALABOULETTE,Sainfoin,109,251.9
9.30.2020,IENABOULETTE,Sainfoin,109.2,251.9
9.30.2020,IMBALABOUL,Sainfoin,108.8,249.2
9.30.2020,IRITABELLA,Sainfoin,109,249.9
9.30.2020,ITROPIBOULETTE,Sainfoin,108.8,248.9
9.30.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,248.7
9.30.2020,IMEETHAPPYBOULETTE,Sainfoin,109,248.5
9.30.2020,INECHAIBOUL,Sainfoin,109.3,250.4
10.1.2020,INEBOULETTE,Sainfoin,108.7,251.9
10.1.2020,ICILIFAIRYBOULETTE,Sainfoin,108.7,251.1
10.1.2020,ILIVALABOULETTE,Sainfoin,109,251.9
10.1.2020,IENABOULETTE,Sainfoin,109.2,251.9
10.1.2020,IMBALABOUL,Sainfoin,108.8,249.2
10.1.2020,IRITABELLA,Sainfoin,109,249.9
10.1.2020,ITROPIBOULETTE,Sainfoin,108.8,248.9
10.1.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,248.7
10.1.2020,IMEETHAPPYBOULETTE,Sainfoin,109,248.5
10.1.2020,INECHAIBOUL,Sainfoin,109.3,250.4
10.2.2020,INEBOULETTE,Sainfoin,108.7,251.9
10.2.2020,ICILIFAIRYBOULETTE,Sainfoin,108.7,251.1
10.2.2020,ILIVALABOULETTE,Sainfoin,109,251.9
10.2.2020,IENABOULETTE,Sainfoin,109.2,251.9
10.2.2020,IMBALABOUL,Sainfoin,108.8,249.2
10.2.2020,IRITABELLA,Sainfoin,109,249.9
10.2.2020,ITROPIBOULETTE,Sainfoin,108.8,248.9
10.2.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,248.7
10.2.2020,IMEETHAPPYBOULETTE,Sainfoin,109,248.5
10.2.2020,INECHAIBOUL,Sainfoin,109.3,250.4
10.3.2020,INEBOULETTE,Sainfoin,108.7,251.9
10.3.2020,ICILIFAIRYBOULETTE,Sainfoin,108.7,251.1
10.3.2020,ILIVALABOULETTE,Sainfoin,109,251.9
10.3.2020,IENABOULETTE,Sainfoin,109.2,251.9
10.3.2020,IMBALABOUL,Sainfoin,108.8,249.2
10.3.2020,IRITABELLA,Sainfoin,109,249.9
10.3.2020,ITROPIBOULETTE,Sainfoin,108.8,248.9
10.3.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,248.7
10.3.2020,IMEETHAPPYBOULETTE,Sainfoin,109,248.5
10.3.2020,INECHAIBOUL,Sainfoin,109.3,250.4
10.4.2020,INEBOULETTE,Sainfoin,108.7,251.9
10.4.2020,ICILIFAIRYBOULETTE,Sainfoin,105.4,241.7
10.4.2020,ILIVALABOULETTE,Sainfoin,109,251.9
10.4.2020,IENABOULETTE,Sainfoin,109.2,251.9
10.4.2020,IMBALABOUL,Sainfoin,108.8,249.2
10.4.2020,IRITABELLA,Sainfoin,109,249.9
10.4.2020,ITROPIBOULETTE,Sainfoin,108.8,248.9
10.4.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,248.7
10.4.2020,IMEETHAPPYBOULETTE,Sainfoin,109,248.5
10.4.2020,INECHAIBOUL,Sainfoin,109.3,250.4
10.5.2020,INEBOULETTE,Sainfoin,108.7,251.9
10.5.2020,ICILIFAIRYBOULETTE,Sainfoin,108.7,251.1
10.5.2020,ILIVALABOULETTE,Sainfoin,109,251.9
10.5.2020,IENABOULETTE,Sainfoin,109.2,251.9
10.5.2020,IMBALABOUL,Sainfoin,108.8,249.2
10.5.2020,IRITABELLA,Sainfoin,109,249.9
10.5.2020,ITROPIBOULETTE,Sainfoin,108.8,248.9
10.5.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,248.7
10.5.2020,IMEETHAPPYBOULETTE,Sainfoin,109,248.5
10.5.2020,INECHAIBOUL,Sainfoin,109.3,250.4
10.6.2020,INEBOULETTE,Sainfoin,109.1,252.6
10.6.2020,ICILIFAIRYBOULETTE,Sainfoin,109.1,252.2
10.6.2020,ILIVALABOULETTE,Sainfoin,108.7,251.4
10.6.2020,IENABOULETTE,Sainfoin,108.9,252
10.6.2020,IMBALABOUL,Sainfoin,108.8,249.9
10.6.2020,IRITABELLA,Sainfoin,108.8,250
10.6.2020,ITROPIBOULETTE,Sainfoin,109.1,249.9
10.6.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,249.3
10.6.2020,IMEETHAPPYBOULETTE,Sainfoin,109.1,248.9
10.6.2020,INECHAIBOUL,Sainfoin,109.1,250.3
10.7.2020,INEBOULETTE,Sainfoin,109.1,252.6
10.7.2020,ICILIFAIRYBOULETTE,Sainfoin,109.1,252.2
10.7.2020,ILIVALABOULETTE,Sainfoin,108.7,251.4
10.7.2020,IENABOULETTE,Sainfoin,108.9,252
10.7.2020,IMBALABOUL,Sainfoin,108.8,249.9
10.7.2020,IRITABELLA,Sainfoin,108.8,250
10.7.2020,ITROPIBOULETTE,Sainfoin,109.1,249.9
10.7.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,249.3
10.7.2020,IMEETHAPPYBOULETTE,Sainfoin,109.1,248.9
10.7.2020,INECHAIBOUL,Sainfoin,109.1,250.3
10.8.2020,INEBOULETTE,Sainfoin,109.1,252.6
10.8.2020,ICILIFAIRYBOULETTE,Sainfoin,109.1,252.2
10.8.2020,ILIVALABOULETTE,Sainfoin,108.7,251.4
10.8.2020,IENABOULETTE,Sainfoin,108.9,252
10.8.2020,IMBALABOUL,Sainfoin,108.8,249.9
10.8.2020,IRITABELLA,Sainfoin,108.8,250
10.8.2020,ITROPIBOULETTE,Sainfoin,109.1,249.9
10.8.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,249.3
10.8.2020,IMEETHAPPYBOULETTE,Sainfoin,109.1,248.9
10.8.2020,INECHAIBOUL,Sainfoin,109.1,250.3
10.9.2020,INEBOULETTE,Sainfoin,109.1,252.6
10.9.2020,ICILIFAIRYBOULETTE,Sainfoin,97,217.9
10.9.2020,ILIVALABOULETTE,Sainfoin,108.7,251.4
10.9.2020,IENABOULETTE,Sainfoin,108.9,252
10.9.2020,IMBALABOUL,Sainfoin,108.8,249.9
10.9.2020,IRITABELLA,Sainfoin,108.8,250
10.9.2020,ITROPIBOULETTE,Sainfoin,109.1,249.9
10.9.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,249.3
10.9.2020,IMEETHAPPYBOULETTE,Sainfoin,109.1,248.9
10.9.2020,INECHAIBOUL,Sainfoin,109.1,250.3
10.10.2020,INEBOULETTE,Sainfoin,109.1,252.6
10.10.2020,ICILIFAIRYBOULETTE,Sainfoin,109.1,252.2
10.10.2020,ILIVALABOULETTE,Sainfoin,108.7,251.4
10.10.2020,IENABOULETTE,Sainfoin,108.9,252
10.10.2020,IMBALABOUL,Sainfoin,108.8,249.9
10.10.2020,IRITABELLA,Sainfoin,108.8,250
10.10.2020,ITROPIBOULETTE,Sainfoin,109.1,249.9
10.10.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,249.3
10.10.2020,IMEETHAPPYBOULETTE,Sainfoin,109.1,248.9
10.10.2020,INECHAIBOUL,Sainfoin,109.1,250.3
10.11.2020,INEBOULETTE,Sainfoin,109.1,252.6
10.11.2020,ICILIFAIRYBOULETTE,Sainfoin,109.1,252.2
10.11.2020,ILIVALABOULETTE,Sainfoin,108.7,251.4
10.11.2020,IENABOULETTE,Sainfoin,108.9,252
10.11.2020,IMBALABOUL,Sainfoin,108.8,249.9
10.11.2020,IRITABELLA,Sainfoin,108.8,250
10.11.2020,ITROPIBOULETTE,Sainfoin,109.1,249.9
10.11.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,249.3
10.11.2020,IMEETHAPPYBOULETTE,Sainfoin,109.1,248.9
10.11.2020,INECHAIBOUL,Sainfoin,109.1,250.3
10.12.2020,INEBOULETTE,Sainfoin,109.1,252.6
10.12.2020,ICILIFAIRYBOULETTE,Sainfoin,109.1,252.2
10.12.2020,ILIVALABOULETTE,Sainfoin,108.7,251.4
10.12.2020,IENABOULETTE,Sainfoin,108.9,252
10.12.2020,IMBALABOUL,Sainfoin,108.8,249.9
10.12.2020,IRITABELLA,Sainfoin,108.8,250
10.12.2020,ITROPIBOULETTE,Sainfoin,109.1,249.9
10.12.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,249.3
10.12.2020,IMEETHAPPYBOULETTE,Sainfoin,109.1,248.9
10.12.2020,INECHAIBOUL,Sainfoin,109.1,250.3
10.13.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.13.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.13.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.13.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.13.2020,IMBALABOUL,Sainfoin,108.8,250
10.13.2020,IRITABELLA,Sainfoin,108.8,249.9
10.13.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.13.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.13.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.13.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.14.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.14.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.14.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.14.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.14.2020,IMBALABOUL,Sainfoin,108.8,250
10.14.2020,IRITABELLA,Sainfoin,108.8,249.9
10.14.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.14.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.14.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.14.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.15.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.15.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.15.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.15.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.15.2020,IMBALABOUL,Sainfoin,108.8,250
10.15.2020,IRITABELLA,Sainfoin,108.8,249.9
10.15.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.15.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.15.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.15.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.16.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.16.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.16.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.16.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.16.2020,IMBALABOUL,Sainfoin,108.8,250
10.16.2020,IRITABELLA,Sainfoin,108.8,249.9
10.16.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.16.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.16.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.16.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.17.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.17.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.17.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.17.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.17.2020,IMBALABOUL,Sainfoin,108.8,250
10.17.2020,IRITABELLA,Sainfoin,108.8,249.9
10.17.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.17.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.17.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.17.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.18.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.18.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.18.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.18.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.18.2020,IMBALABOUL,Sainfoin,108.8,250
10.18.2020,IRITABELLA,Sainfoin,108.8,249.9
10.18.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.18.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.18.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.18.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.19.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.19.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.19.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.19.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.19.2020,IMBALABOUL,Sainfoin,108.8,250
